name,team_name,league,registered_position,age,speed,acceleration,dribbling,ball_control,low_pass,finishing,defensive_awareness,physical_contact,stamina,kicking_power,heading,tight_possession
A. NOUROLLAHI,PERSEPOLIS,AFC Champions League,CMF,27,71,74,67,66,73,65,67,75,81,76,69,67
YANG HAN-BEEN,SEOUL,AFC Champions League,GK,29,55,53,42,44,45,41,46,86,54,73,70,42
YANG SANG-MIN,SUWON SAMSUNG BLUEWINGS,AFC Champions League,CB,36,64,65,62,65,66,55,74,79,75,72,69,62
KU JA-RYOUNG,JEONBUK HYUNDAI MOTORS,AFC Champions League,CB,28,65,63,59,65,64,54,75,73,78,66,71,63
NO DONG-GEON,SUWON SAMSUNG BLUEWINGS,AFC Champions League,GK,29,57,55,42,45,44,41,46,80,53,72,70,42
ABDULLAH AL MAIOUF,AL HILAL,AFC Champions League,GK,33,51,54,43,49,53,40,47,70,53,71,62,47
AMIRI KURDI,AL HILAL,AFC Champions League,RB,29,75,76,65,66,61,52,72,72,80,71,69,63
D. KHAMDAMOV,PAKHTAKOR,AFC Champions League,RMF,24,83,82,76,69,66,66,51,60,77,75,60,68
C. IKONOMIDIS,PERTH GLORY,AFC Champions League,LWF,25,76,80,71,71,69,71,52,70,75,70,62,76
R. OGAWA,F.C. TOKYO,AFC Champions League,LB,24,74,73,68,69,69,63,60,64,75,74,66,66
M. HOSSEINI,SEPAHAN,AFC Champions League,RWF,31,75,77,71,74,71,67,53,63,72,70,64,72
HE GUAN,SHANGHAI SIPG,AFC Champions League,CB,27,70,69,65,67,68,55,73,73,75,68,73,66
SHI KE,SHANGHAI SIPG,AFC Champions League,CB,27,74,69,66,66,67,55,72,72,72,74,72,65
R. GRANT,SYDNEY,AFC Champions League,RB,29,80,82,63,64,62,56,62,65,80,68,66,68
LEE JONG-SUNG,SUWON SAMSUNG BLUEWINGS,AFC Champions League,DMF,28,70,66,65,71,71,62,65,73,74,78,63,68
JOAN OUMARI,F.C. TOKYO,AFC Champions League,CB,32,74,67,63,62,68,55,71,81,70,75,76,59
J. MEREDITH,PERTH GLORY,AFC Champions League,LB,32,84,83,65,63,62,56,69,72,86,65,61,61
JUNG SEUNG-HYUN,ULSAN HYUNDAI,AFC Champions League,CB,26,67,62,61,66,66,55,76,86,74,72,73,63
MADALLAH ALOLAYAN,AL HILAL,AFC Champions League,RB,26,77,75,72,73,68,61,64,62,75,71,62,70
SANDRO MANOEL,AL TAAWOUN,AFC Champions League,DMF,32,70,76,60,64,71,56,65,80,83,64,62,69
LI SHENGLONG,SHANGHAI SIPG,AFC Champions League,RWF,28,74,78,72,71,67,66,55,68,73,71,63,68
R. CHESHMI,ESTEGHLAL,AFC Champions League,CB,27,68,63,59,60,67,55,73,81,73,80,81,55
M. KANANI,PERSEPOLIS,AFC Champions League,CB,26,69,65,59,63,66,52,75,81,70,69,82,56
TAREK SALMAN,AL SADD,AFC Champions League,CB,23,70,72,66,72,73,57,74,77,76,71,69,67
G. WÜTHRICH,PERTH GLORY,AFC Champions League,CB,26,73,70,55,63,67,48,72,82,76,72,82,58
MOHAMMED KANOO,AL HILAL,AFC Champions League,CMF,26,68,72,70,71,72,62,65,75,80,65,70,66
SONG BUM-KEUN,JEONBUK HYUNDAI MOTORS,AFC Champions League,GK,23,65,59,42,45,46,41,45,81,55,72,70,42
BASSAM HISHAM,AL DUHAIL,AFC Champions League,CB,23,79,76,65,69,69,62,67,73,79,78,71,61
S. KRPIĆ,SUWON SAMSUNG BLUEWINGS,AFC Champions League,CF,29,72,67,65,67,63,72,50,80,77,75,79,65
P. RETRE,SYDNEY,AFC Champions League,DMF,27,73,69,71,71,69,63,69,66,76,68,63,74
E. SARIĆ,AL AHLI SAUDI,AFC Champions League,CMF,30,70,72,69,72,72,62,68,69,76,77,62,67
PARK IL-GYU,YOKOHAMA F. MARINOS,AFC Champions League,GK,31,68,72,60,64,66,50,65,70,60,73,60,61
NA SANG-HO,F.C. TOKYO,AFC Champions League,LMF,24,80,78,72,71,67,75,50,67,70,66,63,70
ZOU DEHAI,BEIJING FC,AFC Champions League,GK,27,64,62,42,45,46,41,45,73,55,68,60,46
SULTAN AL GHANAM,AL NASSR,AFC Champions League,RB,26,78,82,73,67,67,61,62,65,84,70,61,67
SAFAA HADI,AL SHORTA,AFC Champions League,DMF,22,73,70,70,75,71,57,65,67,80,69,67,70
P. NIAZMAND,SEPAHAN,AFC Champions League,GK,25,53,55,49,49,53,40,51,80,56,84,70,47
T. MRČELA,PERTH GLORY,AFC Champions League,CB,30,63,61,60,65,65,54,74,85,74,68,74,61
O. MALIK,PERTH GLORY,AFC Champions League,CB,30,67,71,62,67,66,54,73,74,70,72,69,68
J. CHIANESE,PERTH GLORY,AFC Champions League,RWF,30,81,77,73,71,67,64,50,65,73,72,64,68
YOON BIT-GARAM,ULSAN HYUNDAI,AFC Champions League,CMF,30,67,66,70,75,74,65,60,67,80,70,60,72
C. AMISSI,AL TAAWOUN,AFC Champions League,DMF,30,75,80,66,70,70,60,56,71,84,73,60,73
ZHENG ZHI,GUANGZHOU EVERGRANDE,CFA Super League,DMF,40,62,68,68,72,72,64,69,68,65,68,66,66
P. ÁLVAREZ,ARSENAL DE SARANDÍ,Liga Profesional de Fútbol,RB,36,68,66,67,72,66,60,66,77,65,72,67,71
LUCAS CHIARETTI,PORDENONE,Serie BKT,AMF,33,70,73,75,74,72,68,52,62,67,70,60,76
S. TEDSUNGNOEN,BURIRAM UNITED,TOYOTA Thai League,GK,36,59,56,45,45,50,40,46,76,57,80,60,43
DAVID PRIETO,FUENLABRADA A,Spanish 2nd Division,CB,37,65,69,50,52,57,51,76,79,77,65,82,52
J. KAEWPROM,BURIRAM UNITED,TOYOTA Thai League,CMF,32,70,74,68,71,70,62,70,64,72,68,64,66
L. FIGUEROA,COQUIMBO UNIDO,Campeonato PlanVital,RWF,37,75,75,69,67,68,61,68,73,75,72,71,64
D. NUGENT,PRESTON WB,English 2nd Division,CF,35,65,61,68,70,64,72,54,73,75,70,70,66
J. RAITALA,Free Agents,Free Agent,LB,32,76,74,65,65,64,58,62,81,73,64,69,69
ISMA LÓPEZ,TENERIFE AB,Spanish 2nd Division,LB,30,78,74,73,70,74,66,62,66,73,72,60,58
M. DREYER,LORIENT,Ligue 1 Uber Eats,GK,31,55,54,48,50,57,42,49,79,62,75,60,46
A. RAINEAU,CHÂTEAUROUX,Ligue 2 BKT,LB,34,68,67,64,68,68,55,68,74,74,66,65,66
Y. BOLI,RATCHABURI MITRPHOL,TOYOTA Thai League,CF,32,81,77,67,64,58,73,51,72,71,74,73,63
E. BENAVÍDEZ,PATRIOTAS BOYACÁ,Liga BetPlay DIMAYOR,DMF,31,73,73,65,65,69,51,67,75,78,76,60,68
D. DI GENNARO,Free Agents,Free Agent,CMF,32,71,71,72,70,75,63,60,68,71,75,61,70
N. FREY,CHIEVO,Serie BKT,RB,36,71,70,64,66,69,57,73,75,72,70,71,62
S. DE RIDDER,SINT-TRUIDEN,Jupiler Pro League,AMF,33,69,71,74,73,71,68,51,65,72,73,61,72
A. PAPADOPOULOS,OLYMPIAKOS PIRAEUS,Other European Leagues,CB,36,58,53,56,68,67,51,83,82,63,70,77,65
W. LÓPEZ,SALERNITANA,Serie BKT,LB,35,73,73,67,65,68,55,67,73,76,69,64,65
R. STEARMAN,HUDDERSFIELD BW,English 2nd Division,CB,33,58,57,60,67,65,52,74,78,73,65,75,62
A. CONSIDINE,ABERDEEN,Scottish Premiership,LB,33,71,71,59,60,66,53,80,79,74,61,80,59
L. WALLACE,QUEEN'S PARK BW,English 2nd Division,LB,33,72,70,65,68,68,57,69,72,80,76,67,64
A. DENISOV,ARSENAL TULA,Tinkoff Russian Premier Liga,CB,31,71,69,60,64,71,55,71,80,73,73,75,60
U. BULUT,YENİ MALATYASPOR,Süper Lig,CF,37,67,60,66,64,63,74,59,72,69,80,81,62
R. PERTICONE,CITTADELLA,Serie BKT,CB,34,71,71,65,64,67,57,73,74,75,73,70,63
C. MCMANAMAN,Free Agents,Free Agent,RMF,29,79,80,71,70,65,67,52,63,76,71,62,68
E. BENNETT,BLACKBURN BW,English 2nd Division,RB,32,75,71,65,69,65,61,65,67,73,73,64,62
T. COREMANS,SPARTA ROTTERDAM,Eredivisie,GK,29,68,63,53,53,68,40,56,76,62,78,60,46
F. DAPRELÀ,LUGANO,Raiffeisen Super League,CB,29,75,75,65,68,69,57,70,67,76,65,72,62
K. THAMSATCHANAN,Free Agents,Free Agent,GK,30,62,65,48,49,51,45,45,76,55,76,60,46
A. DIALLO,GENÇLERBİRLİĞİ,Süper Lig,GK,28,61,56,53,51,56,40,52,80,58,83,70,48
S. ROBINSON,LIVINGSTON,Scottish Premiership,CMF,28,75,74,69,72,73,64,64,64,81,63,62,66
M. LUMB,HORSENS,3F Superliga,LB,32,70,69,62,65,64,65,64,77,68,77,68,67
MOACIR,ATLÉTICO GO,BRASILEIRÃO ASSAÍ 2020,CMF,34,81,77,76,70,70,57,67,66,80,72,60,69
JORGE HENRIQUE,NÁUTICO,BRASILEIRÃO SÉRIE B 2020,LMF,38,72,77,75,71,70,71,60,68,69,71,63,73
L. TIPTON,ENVIGADO,Liga BetPlay DIMAYOR,LB,28,75,73,63,66,66,56,65,72,75,78,66,65
L. OCHOA,ONCE CALDAS,Liga BetPlay DIMAYOR,RB,36,75,73,67,66,69,60,66,68,74,73,63,68
J. CUERO,JAGUARES DE CÓRDOBA,Liga BetPlay DIMAYOR,LWF,32,88,85,72,71,63,65,50,71,71,72,62,70
J. TRAGODARA,SPORT BOYS,Other Latin American Teams,DMF,35,73,70,68,68,66,63,60,72,75,77,71,66
EREN,ANTALYASPOR,Süper Lig,LB,29,79,78,71,67,67,59,60,62,77,74,60,64
L. CÁCERES,SPORT BOYS,Other Latin American Teams,CMF,32,73,76,70,71,73,63,62,70,74,75,65,70
T. SMITH,Free Agents,Free Agent,CB,30,68,65,57,62,65,54,71,81,75,66,74,62
H. VERHULST,AZ,Eredivisie,GK,27,64,65,56,62,61,46,55,75,63,73,60,53
S. FERGUSON,MILLWALL BW,English 2nd Division,LMF,29,73,69,73,71,68,63,63,65,77,75,66,68
R. MULUMBA,CHÂTEAUROUX,Ligue 2 BKT,CMF,28,70,68,66,70,73,60,67,75,77,67,65,67
M. DELAČ,HORSENS,3F Superliga,GK,28,70,66,50,51,51,46,74,77,50,77,60,46
MARCEL BÜCHEL,Free Agents,Free Agent,CMF,29,74,75,70,67,74,64,62,68,74,73,63,64
T. TORUN,RİZESPOR,Süper Lig,RMF,30,74,75,71,70,74,62,51,65,67,72,60,72
M. YUMLU,DENİZLİSPOR,Süper Lig,CB,33,62,67,61,63,64,57,70,83,71,71,78,61
C. NÚÑEZ,DEPORTIVO PASTO,Liga BetPlay DIMAYOR,CF,28,79,82,68,71,63,70,45,75,71,76,67,70
S. JAIME,CURICÓ UNIDO,Campeonato PlanVital,RWF,33,74,75,68,69,65,70,55,76,76,72,73,67
A. BALBÍN,SPORT BOYS,Other Latin American Teams,CB,34,70,69,64,65,66,58,69,77,76,77,71,64
TITO,VALLECAS BR,Spanish 2nd Division,RB,35,71,72,65,69,67,63,70,76,71,67,68,65
A. FAURLIN,MALLORCA RN,Spanish League,CMF,34,58,56,65,74,78,60,64,77,70,71,66,76
N. DYER,Free Agents,Free Agent,RMF,33,80,82,76,71,70,65,52,60,71,70,53,69
A. CRESCENZI,CREMONESE,Serie BKT,LB,29,76,74,68,66,67,57,67,71,75,69,63,63
C. MORRIS,ROSS COUNTY,Scottish Premiership,CB,30,66,64,59,60,60,52,77,70,75,70,78,58
POL FREIXANET,FUENLABRADA A,Spanish 2nd Division,GK,29,61,63,51,45,52,40,65,75,56,75,70,46
D. LÉON,AUXERRE,Ligue 2 BKT,GK,28,57,62,50,54,57,43,50,83,64,78,60,47
D. DAVIS,BIRMINGHAM B,English 2nd Division,CMF,29,71,73,67,71,70,63,68,75,82,75,66,69
L. HENKINET,STANDARD LIÈGE,Jupiler Pro League,GK,28,62,63,54,56,57,42,65,81,60,78,60,46
ANDRÉ SOUSA,GAZİANTEP FK,Süper Lig,CMF,30,65,71,69,71,72,62,61,72,79,75,62,66
D. STOJANOVIC,MIDDLESBROUGH RW,English 2nd Division,GK,27,57,53,45,52,52,40,52,84,59,79,72,45
D. TEXEIRA,MOREIRENSE,Liga NOS,CF,29,76,74,69,70,62,70,47,75,79,82,81,68
JOTA GARCÊS,MADEIRA BP,Liga NOS,AMF,27,77,79,72,72,66,62,62,65,77,70,60,79
R. SCHÜLLER,Free Agents,Free Agent,CMF,29,62,65,64,72,69,68,72,72,72,68,70,74
M. POL,EVERTON,Campeonato PlanVital,CF,32,74,78,72,71,66,74,53,68,73,71,72,69
D. ÁLVAREZ,DEPORTIVO PEREIRA,Liga BetPlay DIMAYOR,CF,39,70,73,65,71,65,75,49,72,68,73,76,68
QIN SHENG,DALIAN PRO,CFA Super League,DMF,34,68,66,69,71,73,60,72,68,70,66,70,66
GUILHERME LAZARONI,PONTE PRETA,BRASILEIRÃO SÉRIE B 2020,LB,28,75,75,72,71,69,62,60,74,73,72,63,68
BRUNO NUNES,JUVENTUDE,BRASILEIRÃO SÉRIE B 2020,CF,30,75,76,67,70,64,75,42,74,71,69,70,67
RAFAEL MARTINS,BRASIL DE PELOTAS,BRASILEIRÃO SÉRIE B 2020,GK,29,66,56,53,50,55,41,56,77,60,74,60,46
EWERTON PÁSCOA,CRB,BRASILEIRÃO SÉRIE B 2020,CB,31,68,67,61,62,64,57,72,84,71,72,76,58
D. MCGEOUCH,ABERDEEN,Scottish Premiership,CMF,27,72,68,70,71,74,60,61,70,75,71,62,65
L. ERWIN,ROSS COUNTY,Scottish Premiership,CF,26,70,72,62,67,63,71,45,77,72,75,77,70
M. FRASER,ST. MIRREN,Scottish Premiership,RB,26,77,75,59,61,61,58,68,75,75,71,71,60
F. OLINGA,ROYAL EXCEL MOUSCRON,Jupiler Pro League,LWF,24,78,81,75,72,66,65,45,64,74,70,60,74
M. KENNEDY,ABERDEEN,Scottish Premiership,LWF,26,78,80,73,70,66,69,52,61,68,67,61,68
J. CHALMERS,ROSS COUNTY,Scottish Premiership,CMF,26,71,71,66,69,74,65,62,66,78,68,68,66
JOSA,NÁUTICO,BRASILEIRÃO SÉRIE B 2020,DMF,36,70,71,65,67,68,61,69,77,71,72,69,65
U. BECH,PANATHINAIKOS,Other European Leagues,RWF,27,77,83,76,71,66,69,48,62,67,72,54,70
J. VIEYRA,CENTRAL CÓRDOBA SDE,Liga Profesional de Fútbol,RMF,28,77,77,78,72,66,67,50,62,68,74,62,73
G. HACHEN,DEFENSA Y JUSTICIA,Liga Profesional de Fútbol,AMF,30,73,78,75,73,69,68,50,65,68,68,58,76
MARCOS FELIPE,FLUMINENSE,BRASILEIRÃO ASSAÍ 2020,GK,24,62,65,59,54,56,43,56,75,64,71,60,46
L. POVEA,U. DE CONCEPCIÓN,Campeonato PlanVital,DMF,26,76,77,68,70,70,58,75,71,75,68,70,67
YOIVER GONZÁLEZ,DEPORTIVO PEREIRA,Liga BetPlay DIMAYOR,CB,31,74,72,61,64,64,55,69,78,73,74,70,58
M. PÁTKAI,Free Agents,Free Agent,DMF,32,70,70,68,72,74,64,70,66,76,67,62,68
GENG XIAOFENG,HEBEI CHINA FORTUNE,CFA Super League,GK,33,65,62,46,47,51,43,45,81,55,75,70,46
YU YANG,BEIJING GUOAN,CFA Super League,CB,31,68,65,63,68,67,58,72,76,72,72,71,65
SUN KE,TIANJIN TIANHAI,CFA Super League,LMF,31,78,81,72,67,68,64,53,65,74,68,60,69
I. KECOJEVIĆ,ALBACETE BN,Spanish 2nd Division,CB,32,67,66,61,70,66,52,70,77,75,69,77,58
T. KISSAS,Free Agents,Free Agent,GK,32,60,62,44,45,46,42,45,76,56,76,60,43
JACKSON,FORTALEZA,BRASILEIRÃO ASSAÍ 2020,CB,30,72,71,61,61,64,60,72,80,69,73,75,58
ZHOU YUN,JIANGSU SUNING,CFA Super League,LB,30,71,72,67,66,67,58,65,68,76,70,62,72
FAN YUNLONG,GUANGZHOU R&F,CFA Super League,CMF,31,79,82,70,71,71,63,65,65,73,70,60,67
EDNEI,BRASIL DE PELOTAS,BRASILEIRÃO SÉRIE B 2020,RB,35,77,75,68,70,65,61,62,73,73,77,60,67
GEGÊ,BRASIL DE PELOTAS,BRASILEIRÃO SÉRIE B 2020,AMF,26,75,76,72,75,75,60,50,68,71,72,60,73
RAFINHA,BOTAFOGO SP,BRASILEIRÃO SÉRIE B 2020,LWF,28,77,78,75,70,73,67,49,62,69,73,64,75
K. ARTYMATAS,Free Agents,Free Agent,DMF,27,73,69,65,68,69,62,72,72,69,72,63,68
ZHANG LIE,BEIJING RENHE,CFA Super League,GK,38,68,65,46,50,53,45,42,80,60,71,60,45
O. WILLIAMS,HAMILTON ACADEMICAL,Scottish Premiership,GK,33,53,53,48,54,59,46,60,76,69,76,70,55
C. ROJAS,DEPORTES ANTOFAGASTA,Campeonato PlanVital,CB,35,68,68,65,72,68,63,74,73,74,72,71,60
R. GONZÁLEZ,COBRESAL,Campeonato PlanVital,LB,31,72,70,67,63,68,58,72,67,75,73,71,65
H. SALINAS,DEPORTES IQUIQUE,Campeonato PlanVital,LMF,30,76,74,72,68,68,67,61,78,75,74,68,71
B. VIDAL,COQUIMBO UNIDO,Campeonato PlanVital,CB,29,68,68,58,60,60,55,74,78,75,71,73,58
B. SAN JUAN,EVERTON,Campeonato PlanVital,CB,26,73,72,64,66,65,58,74,74,75,68,73,61
B. CEREZO,SANTIAGO WANDERERS,Campeonato PlanVital,RB,25,74,72,66,65,68,60,66,72,72,76,73,64
D. LUPPI,CITTADELLA,Serie BKT,CF,30,76,77,72,71,69,68,52,68,75,74,66,71
PENG XINLI,SHANGHAI SHENHUA,CFA Super League,CMF,29,81,72,72,72,71,66,57,67,71,72,63,69
D. MOBERG-KARLSSON,SPARTA PRAHA,Other European Leagues,RWF,26,86,83,73,71,67,62,47,61,70,73,60,70
J. DELAPLACE,LORIENT,Ligue 1 Uber Eats,CMF,34,66,71,72,74,76,57,60,60,72,68,52,70
G. MONACHELLO,ATALANTA,Serie A TIM,CF,26,72,70,70,72,64,74,50,77,72,75,75,64
G. IÑÍGUEZ,COQUIMBO UNIDO,Campeonato PlanVital,CMF,26,69,70,69,71,73,65,66,67,72,70,67,70
F. ELIZARI,UNIÓN,Liga Profesional de Fútbol,AMF,29,73,79,75,75,73,64,50,70,67,70,60,71
N. AVELLANEDA,DEFENSA Y JUSTICIA,Liga Profesional de Fútbol,GK,27,65,67,49,53,60,45,54,82,66,78,70,51
G. NAVARRETE,O'HIGGINS,Campeonato PlanVital,CMF,26,75,72,70,72,70,58,67,67,75,70,62,71
B. PAWŁOWSKI,GAZİANTEP FK,Süper Lig,RWF,28,84,85,73,70,65,64,54,62,75,67,62,69
D. TONUCCI,JUVE STABIA,Serie BKT,CB,32,70,68,65,64,69,58,71,77,76,68,70,64
M. DERRIEN,CHAMBLY,Ligue 2 BKT,CB,27,72,70,61,65,67,53,71,77,75,64,74,60
L. CRECCO,PESCARA,Serie BKT,CMF,25,75,73,70,72,72,62,63,73,76,69,70,68
M. MOSCATI,TRAPANI,Serie BKT,CMF,28,75,74,69,71,70,67,62,73,78,73,66,69
A. MARAVAL,DUNKERQUE,Ligue 2 BKT,GK,27,60,63,48,54,59,42,48,79,61,77,60,46
R. OSORIO,COQUIMBO UNIDO,Campeonato PlanVital,CB,25,69,71,63,65,65,55,75,74,74,69,71,63
F. MONTERO,ARGENTINOS JUNIORS,Liga Profesional de Fútbol,CMF,32,76,75,73,72,68,63,60,60,77,75,60,68
M. ASTINA,Free Agents,Free Agent,LWF,24,72,80,81,75,66,66,52,60,67,72,60,74
PAULINHO MOCCELIN,CHAPECOENSE,BRASILEIRÃO SÉRIE B 2020,RWF,26,77,82,72,70,63,67,55,66,70,70,62,69
J. MOSQUERA,RIONEGRO,Liga BetPlay DIMAYOR,DMF,29,74,75,74,72,67,57,62,71,75,70,63,68
Y. KAABOUNI,SOCHAUX,Ligue 2 BKT,DMF,25,70,72,71,74,72,56,58,65,75,64,63,75
S. D'ALMEIDA,VALENCIENNES,Ligue 2 BKT,DMF,25,76,78,66,68,67,51,67,76,82,65,65,70
JOÃO AFONSO,GIL VICENTE,Liga NOS,DMF,25,69,69,66,68,67,60,65,70,80,74,79,65
MURILO,LIVORNO,Serie BKT,SS,25,76,77,71,70,67,67,51,71,73,70,65,70
GUILLERMO,SANTANDER VB,Spanish 2nd Division,CF,27,72,71,71,72,65,71,56,67,79,69,67,70
M. BLÁZQUEZ,DEPORTES IQUIQUE,Campeonato PlanVital,CB,29,66,69,68,70,69,60,77,73,72,72,74,61
CRISTIAN,LUGO RB,Spanish 2nd Division,CF,29,74,74,66,74,61,75,51,78,71,72,65,63
NAHUEL LEIVA,TENERIFE AB,Spanish 2nd Division,LWF,24,74,77,76,76,65,64,50,61,70,61,62,74
ANDER CANTERO,LUGO RB,Spanish 2nd Division,GK,25,64,66,44,50,50,42,45,81,55,76,70,45
B. TUILOMA,Free Agents,Free Agent,CB,25,70,74,65,68,68,53,73,77,77,67,70,63
RONALDO,SPORT RECIFE,BRASILEIRÃO ASSAÍ 2020,CF,29,74,72,68,70,62,75,47,76,69,76,76,65
R. ARCIERO,BANFIELD,Liga Profesional de Fútbol,RB,27,78,77,68,65,62,60,59,70,75,70,61,69
C. BONILLA,MILLONARIOS,Liga BetPlay DIMAYOR,GK,27,68,72,57,51,64,42,60,71,68,82,60,46
M. MOSQUERA,JAGUARES DE CÓRDOBA,Liga BetPlay DIMAYOR,CB,28,70,66,62,69,66,58,72,75,73,73,75,70
J. WALLENS,DEPORTIVO CALI,Liga BetPlay DIMAYOR,GK,28,67,64,53,53,61,60,62,80,70,81,70,55
D. CHÁVEZ,UNIVERSITARIO,Other Latin American Teams,RB,27,78,74,72,70,67,57,57,75,71,75,65,67
Z. KVRŽIĆ,KAYSERİSPOR,Süper Lig,RB,32,78,73,70,66,67,63,57,71,80,74,62,62
ALEXANDER LÓPEZ,Free Agents,Free Agent,AMF,28,69,73,74,72,69,66,50,62,72,68,61,76
M. GAZZOLA,Free Agents,Free Agent,RB,35,70,72,65,67,68,57,70,72,73,65,69,64
BILL,CHIANGRAI UNITED,TOYOTA Thai League,CF,36,69,64,70,67,66,70,48,80,74,76,74,68
M. ALBÆK,SØNDERJYSKE,3F Superliga,CMF,30,63,61,65,70,74,73,65,74,67,75,68,73
R. SALINAS,VÉLEZ SARSFIELD,Liga Profesional de Fútbol,CF,34,69,64,65,71,66,73,46,83,70,78,78,70
N. MANCILLA,UNIÓN ESPAÑOLA,Campeonato PlanVital,CB,27,72,68,60,62,64,58,73,75,75,68,72,60
M. KOCH,KAS EUPEN,Jupiler Pro League,CB,26,68,63,59,61,64,53,76,85,71,66,84,60
M. ERAMO,ASCOLI,Serie BKT,CMF,31,73,73,69,67,72,66,60,74,78,75,66,66
M. CHIOSA,VIRTUS ENTELLA,Serie BKT,CB,27,74,73,62,66,68,58,75,72,70,68,73,63
J. BLACKMAN,ROTHERHAM RW,English 2nd Division,GK,27,65,63,44,45,51,49,47,71,55,70,70,46
D. ACHUCARRO,DEPORTES LA SERENA,Campeonato PlanVital,CB,29,68,65,62,64,65,52,73,78,73,80,72,63
A. TURAN,ANKARAGÜCÜ,Süper Lig,LB,28,71,77,72,66,67,60,64,70,75,76,61,69
ZHENG LONG,DALIAN PRO,CFA Super League,LMF,32,77,78,72,67,67,64,53,68,71,68,65,70
S. ROUX,Free Agents,Free Agent,RB,27,70,74,67,65,63,58,63,67,78,66,66,70
WANG TONG,SHANDONG LUNENG TAISHAN,CFA Super League,RB,27,75,71,64,65,66,58,67,66,72,72,65,62
WU XINGHAN,SHANDONG LUNENG TAISHAN,CFA Super League,LMF,27,76,73,72,70,67,66,56,69,74,72,65,74
YOO JUN-SOO,PT PRACHUAP,TOYOTA Thai League,CB,32,68,73,66,66,69,61,72,78,73,64,66,63
W. CUESTA,DEPORTES TOLIMA,Liga BetPlay DIMAYOR,GK,27,53,55,52,50,56,40,58,81,59,81,70,54
J. MEDINA,SPORT BOYS,Other Latin American Teams,GK,27,63,61,49,49,53,40,62,78,61,80,60,50
EDU CAMPABADAL,LUGO RB,Spanish 2nd Division,RB,27,72,74,63,71,70,52,69,67,73,70,70,61
IVÁN CRESPO,SANTANDER VB,Spanish 2nd Division,GK,36,67,64,52,60,65,46,56,79,65,74,70,46
TOTI,BG PATHUM UNITED,TOYOTA Thai League,AMF,33,74,78,73,71,72,65,53,68,72,72,65,66
DANI SOTRES,CÁDIZ AA,Spanish 2nd Division,GK,27,62,56,43,45,45,40,46,72,55,66,60,43
JOSÉ CARRILLO,LUGO RB,Spanish 2nd Division,CF,26,66,64,65,68,65,71,54,83,73,73,79,70
F. CERAVOLO,Free Agents,Free Agent,CF,33,72,70,73,75,64,71,49,70,67,72,71,75
M. TROEST,JUVE STABIA,Serie BKT,CB,33,67,65,63,62,68,56,71,83,75,73,76,62
K. LUALUA,LUTON WO,English 2nd Division,LWF,30,85,86,72,67,66,66,49,64,73,76,63,63
M. PELLIZZER,VIRTUS ENTELLA,Serie BKT,CB,31,73,71,57,64,67,53,74,76,75,67,75,62
Á. KOVÁCSIK,Free Agents,Free Agent,GK,29,61,59,48,50,58,40,60,82,66,72,70,46
F. POLI,VIRTUS ENTELLA,Serie BKT,CB,31,69,70,64,66,68,64,73,76,69,63,78,65
A. DE VITIS,PISA,Serie BKT,DMF,28,70,69,65,71,69,58,71,74,75,66,67,68
L. LOLLO,VENEZIA,Serie BKT,CMF,30,68,68,68,72,72,61,67,73,77,70,61,71
ÁLEX MUÑOZ,TENERIFE AB,Spanish 2nd Division,CB,26,73,69,58,65,68,56,70,76,74,65,73,58
P. CIURRIA,PORDENONE,Serie BKT,RWF,25,79,81,73,72,67,66,51,66,74,73,61,71
A. GERBO,Free Agents,Free Agent,CMF,31,78,78,68,70,69,63,67,68,78,70,64,69
M. ARINI,CREMONESE,Serie BKT,CMF,33,66,70,68,72,73,60,69,74,77,69,67,67
A. LAZAAR,NEWCASTLE WB,English League,LB,28,81,76,71,67,64,60,64,72,77,80,67,65
M. MANCOSU,VIRTUS ENTELLA,Serie BKT,CF,36,72,70,67,71,64,74,46,73,67,74,72,64
RAÚL LIZOÁIN,MIRANDA DE EBRO RN,Spanish 2nd Division,GK,29,70,65,58,63,64,52,40,64,72,74,60,46
HERNÁN,GIJÓN RB,Spanish 2nd Division,CMF,30,69,67,65,70,72,61,70,72,76,72,71,66
A. ALMICI,HELLAS VERONA,Serie A TIM,RB,27,77,77,65,66,64,58,66,73,77,66,67,63
CARLOS RUIZ,TENERIFE AB,Spanish 2nd Division,CB,37,67,65,55,65,68,56,71,76,77,67,75,64
P. PAYE,SOCHAUX,Ligue 2 BKT,RB,30,81,80,63,67,69,50,66,66,78,64,64,68
P. DELECROIX,METZ,Ligue 1 Uber Eats,GK,32,62,59,53,54,64,48,64,75,66,73,62,58
JON TORAL,BIRMINGHAM B,English 2nd Division,AMF,25,72,72,70,74,72,65,52,70,75,73,68,73
J. AHLMANN,AAB,3F Superliga,LB,29,75,76,65,69,62,65,64,68,70,67,62,68
J. BOND,WEST BROMWICH WB,English League,GK,27,60,60,44,43,51,42,42,76,57,74,71,46
T. HOBAN,ABERDEEN,Scottish Premiership,CB,26,68,65,60,66,68,54,75,76,68,73,76,65
C. FORSYTH,DERBY WB,English 2nd Division,LB,31,67,64,67,71,68,60,72,72,76,72,70,65
T. CARSON,MOTHERWELL,Scottish Premiership,GK,32,57,56,45,51,63,45,58,72,57,73,72,54
B. HAMER,HUDDERSFIELD BW,English 2nd Division,GK,33,56,53,42,55,57,43,53,76,55,62,73,46
